9,Ports Authority,DONE,20,14,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sea Street,DONE,20,14,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 02 (NORTH COLOMBO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aluthkade,DONE,23,18,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Grandpass,DONE,23,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gunasinghepura Store,DONE,27,21,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Hulftsdorp,DONE,23,18,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jampattah,DONE,17,13,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Kotahena,DONE,23,21,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Mutwal,DONE,27,21,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 03- COLOMBO SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bambalapitiya,DONE,14,15,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kollupitiya,DONE,14,15,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pamankada,DONE,13,15,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Thimbirigasyaya,DONE,18,16,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Wellawatta,DONE,13,15,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 04 - COLOMBO CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Asiri Central Hospital,DONE,20,18,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Barnes Place,DONE,20,14,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Green Path,DONE,27,18,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Maradana,DONE,20,14,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Nawaloka Hospital,DONE,20,14,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nawam Mawatha,DONE,20,14,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADHOC,status,,,TREATMENT,,,,,,SALESMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mr. Shihan Perera ,DONE,,17,TERMITE,MORATUWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EGX LANKA - HO,DONE,,5,RC,COLOMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EGX LANKA - WARE HOUSE,DONE,,9,,GONAWALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,JBL CORNER,DONE,,1,,NUGEGODA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MR MALITH ,DONE,,9,TC,PANADURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DR PRADEEP KOTHALAWALA,DONE,,9,,HOMAGAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MS RENUKA,DONE,,14,TC,RAJAGIRIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MS SHASHIKA PERIES,DONE,,12,TC,MORATUWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,FRH HOLDINGS,DONE,,12,TC,COLOMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,KFC HOSTEL,DONE,,12,BEDBUG,UNION PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CEYLON ROYAL TEA,DONE,,10,RC BB,HOMAGAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PLANT BOOK,DONE,,8,MC,ON SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MR HEMANTHA,DONE,,8,TC,MALAMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GILLS FOOD (SPECIAL RODENT),ARRANGED,,"8,13,19",RC ,KATUNAYAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MR KUMARASIRI,DONE,,26,TC,MAHARAGAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,KFC HOSTEL - NUGEGODA,DONE,,20,BEDBUG,NUGEGODA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MR CHAVINDU YOHAN,DONE,,19,TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WICHY PLANTATION,DONE,,19,FLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MRS RENUKA ABEYGUNAWARDANA,DONE,,25 (9.00 AM),TC - SPRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PRIYANTHA GEMS,DONE,,15 - 2 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RDS - WATTALA AND COLOMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Interocean logistics ltd - RDS Wattala house,ARRANGED,,"7,14,21,28",GPC/RC/MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Interocean logistics ltd - RDS Wattala house,ARRANGED,,"7,14,21,29",MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Interocean services ltd - 2 WH's,ARRANGED,,"7,14,21,30",GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Interocean logistics ltd - RDS camebridge house,ARRANGED,,"9,16,23,30",GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Interocean logistics ltd - RDS camebridge house,ARRANGED,,"5,12,19,26",MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, MCLERANS HEAD OFFICE - SHIPPINHG AGENCY HOUSE,ARRANGED,,"1,7,18, 21, 29",GPC/RC/MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANULAS PEST OPARATIONS,,,,,,,,,,,,
,CLIENT,ARRANGED,PREVIOUS,NEXT DATE,SCOPES ,TREATMENT,LOCATION,CONTACT NUMBER,FREQUENCY,Prefer Day,Duration and PCT ,SALESMAN
,,,,,,,,,,,,
,DAILY OPAARATIONS,TO BE - DONE,,,,,,,,,,
1,AIRPORT & AVIATION- KATUNAYAKE,DAILY ,ARRANGED,,,GPC/RC/MC,KATUNAYAKE,,,,,
2,COMMERCIAL CREDIT TRAINING CENTRE,DAILY ,ARRANGED,,,GPC/RC/MC,PILIYANDALA,,,,,
3,SERANDIB MILLS ,DAILY ,ARRANGED,,,GPC/RC/MC,COLOMBO PORT,,,,,
4,SERANDIB MILLS - HO,DAILY ,ARRANGED,,,RC,Orugodawatta,,,,,
5,TOPAZ HOTEL,DAILY ,ARRANGED,,,RC,Kandy,,,,,
,,,,,,,,,,,,
,WEEKLY TREATMENTS,TO BE - DONE,,,,,,,,,,
1,ALIYA LOUNGE,ARRANGED,"2,9,16,23,30","6,13,20,27",OK,GPC/RC,COLOMBO,717400902,Weekly,SUNDAY,,Pubudu
19, MCLERANS HEAD OFFICE - SHIPPINHG AGENCY HOUSE,ARRANGED,"1,7,18, 21, 29","5,11,19,25",OK,GPC/RC/MC,VAUXHALL STREET,,,,,
2,BMICH ,ARRANGED,"1,8,15,19","4 , 12 , 19 , 26",OK,RC,COLOMBO,0717402716 (SAMEERA),,saturday,,
3,BRITISH PUB,ARRANGED,"2,9,16,23,30","6,13,20,27",OK,GPC/RC,COLOMBO,701471144,Weekly,SUNDAY,,Pubudu
4,COMMERCIAL CREDIT CENTRE,ARRANGED,"2,9,16,23,30","6,15,20,27",OK,MC (FOGGING),PILIYANDALA,,Weekly,SUNDAY,,
5,CWIT (COLOMBO WEST TERMINAL),ARRANGED,"9,23","6,20",OK,FLY/MC,PORT,,FORTNIGHTLY,SUNDAY,,Pubudu
6,FOOD STUDIO PVT LTD,ARRANGED,"5,12,19","2,9,16,23,30",OK,GPC,BANDARANAYAKE AIRPORT,,Weekly,1st week Wednesday,,
14,INTEROCEAN LOGISTICS,ARRANGED,"7,14,21,28","4 , 11 , 18 , 25",OK,GPC/RC/MC,57 - WATTALA RESIDENCE,,"1,3 -GPC,RC,MC","2,4 - MC ",,
17,INTEROCEAN LOGISTICS - RDS CAMBRIDGE,ARRANGED,"9,16,23,30","6,13,20,27",OK,GPC/RC,COLOMBO,,,,,
18,INTEROCEAN LOGISTICS - RDS CAMBRIDGE,ARRANGED,"5,12,19,26","2,9,16,23,30",OK,MC,COLOMBO,,,,,
15,INTEROCEAN SERVICES,WEEKLY,"7,14,21,29","4 , 11 , 18 , 25",OK,GPC/RC,54 - WATTALA STORES,,"1,3 -GPC,RC","2,4 - GPC",,
9,KALUBOWILA TEACHING HOSPITAL,ARRANGED,"5,10,20,25","4,10,15,22,29",OK,RCV / RC,NUGEGODA,,Weekly,,,BOSS
10,MALIBAN BISCUIT MANUFACTORIES PVT LTD,WEEKLY,2026-09-15,,OK,GPC/RC/FLY,RATHMALANA,,,,,
16,MCLERANCE AUTOMOTIVE,WEEKLY,"7,14,21,30","4 , 11 , 18 , 25",OK,GPC/RC/MC,52 - WATTALA,,"1,3 -GPC,RC,MC","2,4 - MC",,
11,NDB - DHARMAPALA MAWATHA,WEEKLY,"2,9,16,23,30","6, 13, 20, 27",OK,MC,COLOMBO,,Weekly,SUNDAY,,
12,NDB - NAWAM MAWATHA,WEEKLY,"2,9,16,23,30","6, 13, 20, 27",OK,MC,COLOMBO,,Weekly,SUNDAY,,BOSS
13,SILVERMILL GROUP,WEEKLY,,,OK,GPC/RC/FLY,GIRIULLA,,,,,
,,,,,,,,,,,,
,MONTHLEY TREATMENTS,TO BE - DONE,,,,,,,,,,
1,AMAGI FOODS PVT LTD,JOB IS DONE,13 (2.00 PM),11 - 2 pm,NO,GPC/RC/FLY/MC,EKALA,0770899800 (SHIVANTHI),MONTHLY,,,
2,ANTHLER GROUP,TO BE  DONE,,,NO,GPC,PILIYANDALA,,03 month,,,Janadara
3,ASIAN AGRO PRODUCTS,ARRANGED,2026-01-29,19 - ktn,NO,GPC,KATUNAYAKA,0777262612 (ASHEN),,,,
4,BELUMMAHARA MILLS,JOB IS DONE,8,5 (9.30 am),NO,GPC/ RC,BELUMMAHARA,0707255804 (chathuri),Monthly,,,Wijenayaka
5,BOBING GROUP (APPAREL),JOB IS DONE,22,12 - 9AM,NO,MC,MT LAVINIA,0763590982 (Dinushi),Monthly,,,Wijenayaka
6,C E W A S (TANDEM SPEED),JOB IS DONE,12,"9 (5.00PM), 14",NO,GPC/MC,RATHMALANA,0754053481 (chathurani),FORTNIGHTY,,,Janadara
7,C E W A S (TANDEM SPEED),TO BE  DONE,28,28,NO,MC,RATHMALANA,0763591144 (Office),FORTNIGHTY,,,Janadara
8,CEYLON CHOCOLATE LTD,ARRANGED,20,15 (4.00PM),NO,GPC - RC,COLOMBO 13,,,,,
9,CEYLON ROYAL TEAS (Pvt) LTD - TEA FACTORY,JOB IS DONE,7,7,OK,GPC/RC,HOMAGAMA,0769955071 (SHRIMALEE),Monthly,,,Wasantha
10,CEYLON ROYAL TEAS (Pvt) LTD - WAREHOUSE,JOB IS DONE,5,7,OK,GPC/RC,HOMAGAMA,0769955071 (SHRIMALEE),Monthly,,,
11,CEYMED HEALTHCARE SERVICES,JOB IS DONE,"6,7",1,OK,GPC/RC,,,,,,
12,DIMO AGRI BUSINESS,TO BE  DONE,18,18,OK,MC,PELIYAGODA,0742702934 (Mr Rashika),Monthly,Sturday 2pm,,Wijenayaka
13,DINUTH CEYFOOD,JOB IS DONE,14,12 - 10 AM,OK,GPC/RC/MC,SEEDUWA,0771054372 (Maheesha),Monthly,weekday after 2 pm,,Wasantha
14,DRUGS COPARATION (SL AYURVEDIC),TO BE  DONE,14 (9.00 AM),18 (9.00 AM),OK,GPC/RC/MC,NAWINNA,,Monthly,week day 10 am,,Janadara
15,E. L. S CONSTRUCTION,JOB IS DONE,9,5,OK,GPC/RC,KATUWAWELA,0713281422 (NIRMAL),Monthly,,,
16,EARL REEF HOTEL,ARRANGED,4,15,OK,GPC/RC/MC,BERUWALA,0773766379 (Theshan),Monthly,,,Wasantha
17,ETHAL GROUP (PVT) LTD,JOB IS DONE,8,12 (5.00 pm),NO,RC/MC,KAHAPOLA,0777254763 (PAWANI ),Monthly,SATURDAY,,Janadara
18,ETHICAL EXTRACT (Pvt) LTD,ARRANGED,20 (1.00 pm),21 before 3 pm,OK,GPC+RC,KADAWATHA,0716402663 (RANDIKA),Monthly,,,Wasantha
19,FLEMINGO RETAIL HOSPITALITY,ARRANGED,5,by ktn,NO,GPC,BANDARANAYAKE AIRPORT,,Monthly,,,
20,FORT HERITAGE VENTURES (HOTEL),TO BE  DONE,,,NO,GPC/MC/RC,MATARA,0777213817 (Mr Nuwan),Monthly,,,Wijee
21,FORT HERITAGE VENTURES (RESIDENCE),TO BE  DONE,,,NO,GPC/MC/RC,MATARA,077213817 (Mr Nuwan),Monthly,,,Wijee
22,FRIGI ENGINEERING,JOB IS DONE,,3,NO,RC,COLOMBO - 03,,,,,
23,GILLS FOOD KATUNAYAKE,TO BE  DONE,22 (3.00 PM),20 (10.00AM),NO,GPC+RC,KATUNAYAKE,0754322589 (DILSHANI),Monthly,,,
24,GILLS INTERNATIONAL,JOB IS DONE,2,6 (4.00 pm),NO,GPC+RC,KATUNAYAKA - BY KTN,0784249433 (Hasitha),Monthly,Sunday,3 hrs - 02 PCT,Pubudu
25,GILLS INTERNATIONAL,TO BE  DONE,23 (5.00PM),20,NO,FLY,KATUNAYAKA - BY KTN,0784249433 (Hasitha),Monthly,Monday,1.5 hrs - 02 PCT,Pubudu
26,GILLS WATTALA (ANDREWS PREIMIUM),TO BE  DONE,22,27 (10.00 AM),OK,GPC/RC,WATTALA,0754322589 (DILSHANI),Monthly,,,WASANTHA
27,HENEGAMA MILLS,ARRANGED,8,19 (1.00 pm),NO,GPC/RC,HENEGAMA,0787065212 (Mr Lakindu),,12PM 3PM,,
28,HERITAGE TEAS (PVT) LTD,JOB IS DONE, 13 - 8.30,11 (9.00 AM),OK,RC,WELLAMPITIYA,0774133501 (Amal),Monthly,FRIDAY,,Pubudu
29,HERITAGE TEAS (PVT) LTD,JOB IS DONE,15 - 7.30 AM,12 (7.30 AM),OK,GPC (COCKROACH),WELLAMPITIYA,,,,,
30,JETWING LAGOON WELLNESS,ARRANGED,"11 , 12",19,OK,RC/GPC/MC,NEGAMBO,0707443116 (Mr Nihal),Monthly,1st week,,Wijenayaka
31,JETWING LAGOON WELLNESS,ARRANGED,30,30,OK,MC,NEGAMBO,,Fortnight,3rd week,,Wijenayaka
32,LOLC TECHNOLOGIES (LOIT),TO BE  DONE,,,NO,,RAJAGIRIYA,,Monthly,,,JANADARA
33,LRH (LADY RIDGEWAY),JOB IS DONE,2026-12-19,4,OK,RC/RCV,BORELLA,,EVENING 3 PM ( MONDAY ),,,
34,NDB - DARMAPALA MAWATHA,JOB IS DONE,16,13,OK,GPC/MC/ RC,DARMPALA MAWATHA,,,,,
35,NDB - MAIN BRANCH - 02,JOB IS DONE,16,13,OK,GPC/RC,MARINE DRIVE,,Monthly,,,Janadara
36,NDB - MAIN BRANCH - 03,TO BE  DONE,12,15,OK,GPC/RC,GREEN LANKA,,Monthly,,,Janadara
37,NDB - MAIN BRANCH - 04,TO BE  DONE,12,15,OK,GPC/RC,NARAHENPITA,,Monthly,weekday,,Janadara
38,NDB - MAIN BRANCH - 05,JOB IS DONE,16,15,OK,GPC/RC,VAUXHALL STREET,,Monthly,,,Janadara
39,NDB - MAIN BRANCH - 06,TO BE  DONE,16,20,OK,GPC/RC,PETTAH,,Monthly,,,Janadara
40,NDB - NAWAM MAWATHA,JOB IS DONE,16,13,OK,GPC/MC/ RC,NAWAM MAWATHA,,Monthly,2 pm Sunday,,Janadara
41,NDB- MAIN BRANCH - 01,TO BE  DONE,12,16,OK,GPC/RC,MALAMBE DR,,Monthly,weekday night,,
42,NDC - EXPORTS (Pvt) LTD,ARRANGED,24,9,OK,FLY,PANNALA,,,3rd week (saturday),,
43,NDC - EXPORTS (Pvt) LTD,JOB IS DONE,6,9,OK,GPC/RC,PANNALA,0773962202 (Mr sanka),Monthly,1st week (Saturday),,Wijenayaka
44,NELNA FARM (Pvt) LTD,TO BE  DONE,"1 , 24",,OK,GPC/RC/MC,MITHIRIGALA,0773950241 ( lakmali ),Monthly,2 pm Saturday,,Wasantha
45,NMRA - COLOLMO 02,JOB IS DONE,11,11 (4.30 pm),NO,GPC/RC/MC,COLOMBO 02,,,,,
46,NMRA - COLOMBO 02,TO BE  DONE,,25,,MC,COLOMBO 02,,,,,
47,NMRA - COLOMBO 10,JOB IS DONE,12,"11 (4.30 pm), 13",NO,GPC/RC/MC,NORRIS CANAL,,,,,
48,NMRA - COLOMBO 10,TO BE  DONE,,25,,MC,NORRIS CANAL,,,,,
49,OLEENA NATURAL FOODS,SUSPENDED,,,NO,GPC/RC/MC ( ANT ),DIVLAPITIYA,,Monthly,,,DILHAN
50,S.T ANTHONY’S BIZ (Pvt) LTD,JOB IS DONE,13 (10.00am),11 (10.00am),OK,GPC+RC,JA ELA,0715165030 (HIMASHA),Monthly,,,Wasantha
51,ASRIEL MARAKETING,ARRANGED,,16 (3.00 PM),NO,COCKROACH ,AIRPORT,,Monthly,,,Pubudu
52,SETHMA HOSPITAL,TO BE  DONE,31,29,OK,GPC/RC/MC,GAMPAHA,718623720 (krishantha),Monthly,,,Suraj
53,SPECTRA LOGISTICS,JOB IS DONE,3,2,OK,GPC/RC/MC,WATTALA,,Monthly,,,Wasantha
54,SPECTRA LOGISTICS,JOB IS DONE,3,2,OK,GPC/RC/MC,SAPUGASKANDA,,Monthly,,,Wasantha
55,SPECTRA LOGISTICS,JOB IS DONE,3,2,OK,GPC/RC/MC,NITTABUWA,,Monthly,,,Wasantha
56,SPECTRA LOGISTICS,JOB IS DONE,3,1,OK,GPC/RC/MC,JA ELA ( WH ),,Monthly,,,Wasantha
57,SPECTRA LOGISTICS,JOB IS DONE,5,3,OK,GPC/RC/MC,DC,,Monthly,,,Wasantha
58,SPECTRA LOGISTICS,JOB IS DONE,5,3,OK,GPC/RC/MC,DEPOT,,Monthly,,,Wasantha
59,SUNIL TRADERS,TO BE  DONE,4,PENDING,NO,RC,HOKANDARA,772216512,Monthly,,,Janadara
60,WICHY BEVERAGE,JOB IS DONE,4,"2 , 3",OK,GPC/RC,SEETHAWAKAPURA,,Monthly,,,Wasantha
,,,,,,,,,,,,
,ON REQUEST,TO BE - DONE,,,,,,,,,,
1,NDB - MALAMBE,TO BE  DONE,20,,ARRANGED,RAT REMOVE,,,Monthly,,,Pubudu
2,COMMERCIAL CREDIT & FINANCE - NE,TO BE  DONE,16,,ARRANGED,GPC/RC/MC,NUWARA ELIYA,,,,,
3,HERITAGE TEAS (PVT) LTD,TO BE  DONE,,,ARRANGED,STORED PEST,WELLAMPITIYA,,Monthly,,,Pubudu
4,LOLC TECHNOLOGIES,TO BE  DONE,29,,ARRANGED,RC,COLOMBO - 02,,Monthly,weekday after 2 pm,1 PCT,Wasantha
5,METHODIST CHURCH,TO BE  DONE,"21, 22",,ARRANGED,RC/MC,,,,,,
6,MR HISHAM`S HOUSE,TO BE  DONE,,,ARRANGED,MC,COLPETTY,,Monthly,,,
7,MR HUSSAIN`S HOUSE,TO BE  DONE,,,ARRANGED,MC,,,Monthly,,,
8,NDB - HAVELOCK TOWN,TO BE  DONE,,,ARRANGED,MC,Havelock Town,,Monthly,,,
9,NDB - HO-IBU,TO BE  DONE,,,ARRANGED,ANT,HEAD OFFICE,,,,,
10,NDB -KURUNEGALA,TO BE  DONE,,,ARRANGED,MC,Piliyandala,,,,,
11,NDB- BADULLA,JOB IS DONE,,4,ARRANGED,TC,BADULLA,,,,,
12,NDB- GREEN LANKA,TO BE  DONE,12,,ARRANGED,MC,Nawam Mawatha,,,,,
13,NDB- KEKIRAWA,TO BE  DONE,,,ARRANGED,,,,,,,
14,NDB- KOCCHIKADE,TO BE  DONE,,,ARRANGED,TC,KOCCHIKADE,,,,,
15,SILVER MILL HO,TO BE  DONE,2026-01-29,,ARRANGED,GPC/RC/MC,COLOMBO,,,,,
,,,,,,,,,,,,
,HNB BRANCHES - 28,TO BE - DONE,,,,,,,,,,
1,City Office-Audit,TO BE  DONE,22,19,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
2,Call Center at IFJ Tower,TO BE  DONE,29,,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
3,City Office Branch,TO BE  DONE,22,19,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
4,City Office-Centralize Operation,TO BE  DONE,22,19,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
5,City Office-CTP,TO BE  DONE,22,19,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
6,IBU,TO BE  DONE,20,17,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
7,Pettah,TO BE  DONE,13,15,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
8,Pettah Metro,TO BE  DONE,20,17,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
9,Ports Authority,TO BE  DONE,14,15,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
10,Sea Street,TO BE  DONE,14,15,OK,GPC/RC,ZONE 01  (FORT AND PETTAH),,,,,
,,,,,,,,,,,,
11,Aluthkade,TO BE  DONE,18,16,OK,GPC/RC,ZONE 02 (NORTH COLOMBO),,,,,
12,Grandpass,TO BE  DONE,20,17,OK,GPC/RC,ZONE 02 (NORTH COLOMBO),,,,,
13,Gunasinghepura Store,TO BE  DONE,21,17,OK,GPC/RC,ZONE 02 (NORTH COLOMBO),,,,,
14,Hulftsdorp,TO BE  DONE,18,16,OK,GPC/RC,ZONE 02 (NORTH COLOMBO),,,,,
15,Jampattah,TO BE  DONE,13,15,OK,GPC/RC,ZONE 02 (NORTH COLOMBO),,,,,
16,Kotahena,TO BE  DONE,21,17,OK,GPC/RC,ZONE 02 (NORTH COLOMBO),,,,,
17,Mutwal,TO BE  DONE,21,17,OK,GPC/RC,ZONE 02 (NORTH COLOMBO),,,,,
,,,,,,,,,,,,
18,Bambalapitiya,TO BE  DONE,14,15,OK,GPC/RC,ZONE 03- COLOMBO SOUTH,,,,,
19,Kollupitiya,TO BE  DONE,14,15,OK,GPC/RC,ZONE 03- COLOMBO SOUTH,,,,,
20,Pamankada,TO BE  DONE,13,15,OK,GPC/RC,ZONE 03- COLOMBO SOUTH,,,,,
21,Thimbirigasyaya,TO BE  DONE,18,16,OK,GPC/RC,ZONE 03- COLOMBO SOUTH,,,,,
22,Wellawatta,TO BE  DONE,13,15,OK,GPC/RC,ZONE 03- COLOMBO SOUTH,,,,,
,,,,,,,,,,,,
21,Asiri Central Hospital,TO BE  DONE,18,18 (3.30 PM),OK,GPC/RC,ZONE 04 - COLOMBO CENTRAL,,,,,
22,Barnes Place,TO BE  DONE,14,16,OK,GPC/RC,ZONE 04 - COLOMBO CENTRAL,,,,,
23,Green Path,TO BE  DONE,18,18,OK,GPC/RC,ZONE 04 - COLOMBO CENTRAL,,,,,
24,Maradana,TO BE  DONE,14,16,OK,GPC/RC,ZONE 04 - COLOMBO CENTRAL,,,,,
25,Nawaloka Hospital,TO BE  DONE,14,16,OK,GPC/RC,ZONE 04 - COLOMBO CENTRAL,,,,,
26,Nawam Mawatha,TO BE  DONE,14,16,OK,GPC/RC,ZONE 04 - COLOMBO CENTRAL,,,,,
